"VariableName","Value","ValueLabel"
"State abbreviation (HD2018)","AL","Alabama"
"State abbreviation (HD2018)","AK","Alaska"
"State abbreviation (HD2018)","AZ","Arizona"
"State abbreviation (HD2018)","AR","Arkansas"
"State abbreviation (HD2018)","CA","California"
"State abbreviation (HD2018)","CO","Colorado"
"State abbreviation (HD2018)","CT","Connecticut"
"State abbreviation (HD2018)","DE","Delaware"
"State abbreviation (HD2018)","DC","District of Columbia"
"State abbreviation (HD2018)","FL","Florida"
"State abbreviation (HD2018)","GA","Georgia"
"State abbreviation (HD2018)","HI","Hawaii"
"State abbreviation (HD2018)","ID","Idaho"
"State abbreviation (HD2018)","IL","Illinois"
"State abbreviation (HD2018)","IN","Indiana"
"State abbreviation (HD2018)","IA","Iowa"
"State abbreviation (HD2018)","KS","Kansas"
"State abbreviation (HD2018)","KY","Kentucky"
"State abbreviation (HD2018)","LA","Louisiana"
"State abbreviation (HD2018)","ME","Maine"
"State abbreviation (HD2018)","MD","Maryland"
"State abbreviation (HD2018)","MA","Massachusetts"
"State abbreviation (HD2018)","MI","Michigan"
"State abbreviation (HD2018)","MN","Minnesota"
"State abbreviation (HD2018)","MS","Mississippi"
"State abbreviation (HD2018)","MO","Missouri"
"State abbreviation (HD2018)","MT","Montana"
"State abbreviation (HD2018)","NE","Nebraska"
"State abbreviation (HD2018)","NV","Nevada"
"State abbreviation (HD2018)","NH","New Hampshire"
"State abbreviation (HD2018)","NJ","New Jersey"
"State abbreviation (HD2018)","NM","New Mexico"
"State abbreviation (HD2018)","NY","New York"
"State abbreviation (HD2018)","NC","North Carolina"
"State abbreviation (HD2018)","ND","North Dakota"
"State abbreviation (HD2018)","OH","Ohio"
"State abbreviation (HD2018)","OK","Oklahoma"
"State abbreviation (HD2018)","OR","Oregon"
"State abbreviation (HD2018)","PA","Pennsylvania"
"State abbreviation (HD2018)","RI","Rhode Island"
"State abbreviation (HD2018)","SC","South Carolina"
"State abbreviation (HD2018)","SD","South Dakota"
"State abbreviation (HD2018)","TN","Tennessee"
